disease_id,disease_sr,symptom_id,weight,is_typical
D_DERMATITIS,Kontaktni dermatitis,preznojavanje,0.25,0
D_DERMATITIS,Kontaktni dermatitis,umor,0.3,0
D_URTIKARIJA,Akutna urtikarija,osip,0.9,1
D_URTIKARIJA,Akutna urtikarija,svrab,0.85,1
D_URTIKARIJA,Akutna urtikarija,otok_nogu,0.4,0
D_URTIKARIJA,Akutna urtikarija,preznojavanje,0.3,0
D_URTIKARIJA,Akutna urtikarija,crvenilo_oka,0.3,0
D_URTIKARIJA,Akutna urtikarija,nesanica,0.25,0
D_MIJALGIJA,Akutna mijalgija nakon napora,bol_u_misicima,0.95,1
D_MIJALGIJA,Akutna mijalgija nakon napora,grcevi_u_misicima,0.6,0
D_MIJALGIJA,Akutna mijalgija nakon napora,umor,0.55,0
D_MIJALGIJA,Akutna mijalgija nakon napora,bol_u_zglobovima,0.4,0
D_MIJALGIJA,Akutna mijalgija nakon napora,bol_u_ledjima,0.35,0
D_MIJALGIJA,Akutna mijalgija nakon napora,slabost_nogu,0.35,0
D_TENDINITIS,Tendinitis ramena,bol_u_ramenu,0.95,1
D_TENDINITIS,Tendinitis ramena,bol_u_vratu,0.45,0
D_TENDINITIS,Tendinitis ramena,bol_u_misicima,0.4,0
D_TENDINITIS,Tendinitis ramena,utrnulost,0.35,0
D_TENDINITIS,Tendinitis ramena,bol_u_zglobovima,0.3,0
D_TENDINITIS,Tendinitis ramena,umor,0.25,0
D_NESANICA,Blaga nesanica,nesanica,0.95,1
D_NESANICA,Blaga nesanica,umor,0.7,0
D_NESANICA,Blaga nesanica,glavobolja,0.5,0
D_NESANICA,Blaga nesanica,vrtoglavica,0.35,0
D_NESANICA,Blaga nesanica,palpitacije,0.3,0
D_NESANICA,Blaga nesanica,preznojavanje,0.25,0
D_ZATVOR,Funkcionalni zatvor,zatvor,0.95,1
D_ZATVOR,Funkcionalni zatvor,nadutost,0.75,1
D_ZATVOR,Funkcionalni zatvor,bol_u_stomaku,0.65,0
D_ZATVOR,Funkcionalni zatvor,tezina_posle_jela,0.4,0
D_ZATVOR,Funkcionalni zatvor,hemoroidi_tegobe,0.55,0
D_ZATVOR,Funkcionalni zatvor,gubitak_apetita,0.3,0
D_ORALNI,Blagi oralni problemi,upala_desni,0.9,1
D_ORALNI,Blagi oralni problemi,bol_u_zubu,0.9,1
D_ORALNI,Blagi oralni problemi,osetljivost_zuba,0.85,1
D_ORALNI,Blagi oralni problemi,suva_usta,0.5,0
D_ORALNI,Blagi oralni problemi,gubitak_ukusa,0.4,0
D_ORALNI,Blagi oralni problemi,bol_u_grlu,0.3,0
D_PREHLADA,Prehlada,gubitak_cuja_mirisa,0.4,0
D_PREHLADA,Prehlada,suvi_kasalj_nocni,0.45,0
D_PREHLADA,Prehlada,promuklost,0.35,0
D_GRIP,Grip,preznojavanje,0.6,0
D_GRIP,Grip,gubitak_apetita,0.5,0
D_BRONHITIS,Akutni bronhitis,suvi_kasalj_nocni,0.7,0
D_BRONHITIS,Akutni bronhitis,zvizdanje_u_grudima,0.6,0
D_BRONHITIS,Akutni bronhitis,palpitacije,0.25,0
D_BRONHITIS,Akutni bronhitis,promuklost,0.35,0
D_GASTRITIS,Akutni gastritis,gubitak_ukusa,0.35,0
D_GASTRITIS,Akutni gastritis,suva_usta,0.4,0
D_TENZIONA,Tenziona glavobolja,hladne_ruke_noge,0.3,0
D_LUMBALNI,Lumbalni sindrom,bol_u_peti,0.5,0
D_CISTITIS,Akutni cistitis,bol_u_stomaku,0.3,0
D_IBS,Sindrom iritabilnog creva,hemoroidi_tegobe,0.6,0
D_GASTROENTERITIS,Akutni gastroenteritis,gubitak_apetita,0.5,0
D_OTITIS,Akutni otitis media (blagi),zujanje_u_usima,0.4,0
D_MIGRENA,Migrena,nesanica,0.3,0
D_ANKSIOZNOST,"Generalizovani anksiozni poremećaj (blagi, informativno)",anksioznost,0.95,1
D_ANKSIOZNOST,"Generalizovani anksiozni poremećaj (blagi, informativno)",prekomerna_briga,0.9,1
D_ANKSIOZNOST,"Generalizovani anksiozni poremećaj (blagi, informativno)",stres,0.8,1
D_ANKSIOZNOST,"Generalizovani anksiozni poremećaj (blagi, informativno)",nesanica,0.7,0
D_ANKSIOZNOST,"Generalizovani anksiozni poremećaj (blagi, informativno)",palpitacije,0.55,0
D_ANKSIOZNOST,"Generalizovani anksiozni poremećaj (blagi, informativno)",umor,0.5,0
D_ANKSIOZNOST,"Generalizovani anksiozni poremećaj (blagi, informativno)",poremecaj_koncentracije,0.5,0
D_DEPRESIJA,Blaga depresivna epizoda (informativno),depresivno_raspolozenje,0.95,1
D_DEPRESIJA,Blaga depresivna epizoda (informativno),gubitak_interesovanja,0.9,1
D_DEPRESIJA,Blaga depresivna epizoda (informativno),socijalno_povlacenje,0.75,1
D_DEPRESIJA,Blaga depresivna epizoda (informativno),nesanica,0.65,0
D_DEPRESIJA,Blaga depresivna epizoda (informativno),umor,0.65,0
D_DEPRESIJA,Blaga depresivna epizoda (informativno),gubitak_apetita,0.55,0
D_DEPRESIJA,Blaga depresivna epizoda (informativno),poremecaj_koncentracije,0.5,0
D_PANIKA,"Panični poremećaj (blagi, informativno)",napad_panike,0.95,1
D_PANIKA,"Panični poremećaj (blagi, informativno)",palpitacije,0.8,1
D_PANIKA,"Panični poremećaj (blagi, informativno)",kratak_dah,0.7,1
D_PANIKA,"Panični poremećaj (blagi, informativno)",vrtoglavica,0.55,0
D_PANIKA,"Panični poremećaj (blagi, informativno)",prekomerna_briga,0.5,0
D_PANIKA,"Panični poremećaj (blagi, informativno)",nesanica,0.4,0
D_STRES,Akutna stresna reakcija,stres,0.95,1
D_STRES,Akutna stresna reakcija,razdrazljivost,0.8,1
D_STRES,Akutna stresna reakcija,nesanica,0.7,0
D_STRES,Akutna stresna reakcija,glavobolja,0.55,0
D_STRES,Akutna stresna reakcija,bol_u_misicima,0.45,0
D_STRES,Akutna stresna reakcija,poremecaj_koncentracije,0.45,0
D_BURNOUT,Sindrom sagorevanja,sagorevanje,0.95,1
D_BURNOUT,Sindrom sagorevanja,umor,0.85,1
D_BURNOUT,Sindrom sagorevanja,gubitak_interesovanja,0.6,0
D_BURNOUT,Sindrom sagorevanja,nesanica,0.6,0
D_BURNOUT,Sindrom sagorevanja,razdrazljivost,0.55,0
D_BURNOUT,Sindrom sagorevanja,poremecaj_koncentracije,0.5,0
