symptom_id,canonical_sr,synonyms_sr,colloquial_sr,icd10_hint,body_system
pritisak_u_sinusima,pritisak u sinusima,bol u sinusima|pritisak u čelu|sinusna glavobolja|bol iznad očiju,puca mi čelo|sinusi mi puni,J01,respiratorni
promuklost,promuklost,promukao glas|gubitak glasa|hrapav glas,nemam glasa|šapćem,R49.0,respiratorni
suva_usta,suva usta,suše mi se usta|žeđ|lepljiva usta,usta mi suva ko barut|stalno sam žedan,R68.2,opšti
cesto_mokrenje,učestalo mokrenje,idem često u wc|polakisurija|mokrim svaki čas|nagon na mokrenje,trčim u wc svakih pola sata|mokrim non stop,R35,urogenitalni
peckanje_pri_mokrenju,peckanje pri mokrenju,peče pri mokrenju|dizurija|bol pri mokrenju|žarenje pri mokrenju,peče me kad mokrim|mokrenje me boli,R30.0,urogenitalni
bol_u_donjem_stomaku,bol u donjem stomaku,pritisak dole|bol iznad bešike|tupi bol dole,boli me dole stomak|seva me dole,R10.3,urogenitalni
nesanica,nesanica,ne mogu da spavam|poremećaj sna|budim se noću|isprekidan san,prevrćem se celu noć|ne spavam nikako,G47.0,nervni
palpitacije,lupanje srca,preskakanje srca|palpitacije|ubrzan puls|srce mi lupa,srce hoće da mi iskoči|lupa mi kad legnem,R00.2,kardiovaskularni
kratak_dah,kratak dah pri naporu,teško dišem|dispneja|ostajem bez daha|nedostatak vazduha,zadišem se uz stepenice|fali mi vazduha,R06.0,respiratorni
zvizdanje_u_grudima,zviždanje u grudima,šištanje pri disanju|stridor blagi|pišti mi u grudima,čujem zvižduk kad dišem,R06.2,respiratorni
otok_nogu,otok nogu,otiču mi noge|otok članaka|teške noge,uveče mi cipele tesne|noge mi ko balvani,R60.0,kardiovaskularni
suvi_kasalj_nocni,noćni suvi kašalj,kašljem noću|nadražaj noću|guši me noću,ne spavam od kašlja|kašalj me davi noću,R05.8,respiratorni
slabost_nogu,slabost u nogama,klecanje|teške noge|umor u nogama,ne drže me noge|nogama mi ponestaje snage,R53.1,mišićno-koštani
bol_u_grudima_blaga,blagi pritisak u grudima,stezanje u grudima|nelagodnost u grudima|pritisak blagi,steže me u grudima kad se nerviram,R07.89,kardiovaskularni
hladne_ruke_noge,hladne ruke i noge,hladni ekstremiteti|ledene ruke|slaba cirkulacija,ruke mi ledene|nogama mi hladno i leti,R68.82,kardiovaskularni
gubitak_cuja_mirisa,gubitak čula mirisa,ne osećam mirise|anosmija|slab miris|ne mirišem ništa,ne osećam ni beli luk|miris mi nestao,R43.0,respiratorni
gubitak_ukusa,gubitak ukusa,ne osećam ukus|ageuzija|hrana bez ukusa,sve mi bljutavo|ne osećam ni so,R43.2,digestivni
upala_desni,bol u desnima,krvare mi desni|otekle desni|gingivitis bol,desni mi krvare kad perem zube,K05.1,usna duplja
bol_u_zubu,bol u zubu,zubobolja|pulsira zub|bol na hladno|kvari mi zub,ne spavam od zuba|zub me razara,K08.88,usna duplja
osetljivost_zuba,osetljivost zuba na hladno,seva zub na hladno|trne zub na slatko,ne smem sladoled|zub me preseče,K03.89,usna duplja
hemoroidi_tegobe,tegobe sa hemoroidima,svrab čmara|pečenje čmara|krv na papiru|hemoroidi bole,peče me čmar|imam šuljeve,K64,digestivni
bol_u_peti,bol u peti,petni trn|boli me peta ujutru|plantarni bol,ne mogu da stanem na petu|peta me ubija ujutru,M77.3,mišićno-koštani
anksioznost,anksioznost,anksiozan sam|uznemirenost|strepnja|nervoza|teskoba,stalno sam na ivici|nervi mi rade|ne mogu da se smirim,F41.1,psihicko
depresivno_raspolozenje,depresivno raspoloženje,depresivan sam|tužan sam|bezvoljnost|potištenost|utučenost,sve mi je sivo|nemam volje ni za šta|kao da me nema,F32.0,psihicko
gubitak_interesovanja,gubitak interesovanja,ništa me ne raduje|anhedonija|gubitak volje|nezainteresovanost,ništa mi nije zanimljivo|niti me šta veseli,F32.0,psihicko
napad_panike,napad panike,panika me hvata|napad straha|paroksizmalni strah|paničan napad,odjednom me uhvati panika|strah me parališe,F41.0,psihicko
stres,osećaj stresa,pod stresom sam|napetost|ne mogu da se opustim|pritisak na poslu,pucam od stresa|stres me ubija|stalno sam napet,Z73.3,psihicko
razdrazljivost,razdražljivost,razdražljiv sam|nervozan sam|kratak fitilj|iznerviranost,sve me nervira|planem za sitnicu,R45.4,psihicko
poremecaj_koncentracije,poremećaj koncentracije,ne mogu da se koncentrišem|rasejanost|zaboravnost|dekoncentracija,misli mi lutaju|ne mogu da se saberem,R41.84,psihicko
socijalno_povlacenje,socijalno povlačenje,povlačim se u sebe|izbegavam ljude|ne izlazim iz kuće|izolacija,nikog ne zovem|otkazujem viđanja,Z60.2,psihicko
prekomerna_briga,prekomerna briga,preterana briga|katastrofične misli|brinem non stop|crne misli o budućnosti,samo vrtim najgore scenarije|briga me ne pušta,F41.1,psihicko
sagorevanje,sindrom sagorevanja,burnout|emocionalna iscrpljenost poslom|iscrpljenost obavezama|premor,sagoreo sam na poslu|baterije su mi prazne mesecima,Z73.0,psihicko
